rc_cum_prod, mem_cum_prod
1539145489246701364424128084484873373342534835049368666893150006126477580673,1
1003654554482422227615296500296236817145549125830214217285512442465882140328,0
1221800883672714386575320596548930994970317888436682848731826004535224276663,1141451394107091836970242418148033935018085257291698121339478550795706775175
549314967518019738621458936953706161687792218307297991485210293721664712891,0
1441967819159224521487390607502669538586660783063868559204523027285963202032,199972189981691980848461411908358987101675649658934704044284406949812020134
1558771105597724649045697277927462218386160181713099995168291960806354759405,0
1218216961206334231518617602582000102459010794617609570337527044362205182426,516018704337121230569399445895717392835191520757350409806605182818884772342
2679580751374037062299471330932014163311943902029050646891157409737293144432,0
1168469008637532166333609927314740747538756419767979944775289598569642568606,711942072007988074216565825467142197926593264395018271430607494312369482207
2226142876380609472817254193032942727316562421569495787722920160779146535622,0
303768062059524924100444215682272325617494562242606607032952624322249997469,291402208715563442209924699612335222975199797843523699789419243180612140797
2865331116308857865309790658678604851578316543639099987048683832008943682465,0
1557350226314741906007986934351677529399285411508531677973116468028980182312,750138533637517632810177893907975966216917144165425976272513934955352321460
2393256810349430240277269272360331741168611979175162543557933440723310053658,0
520560068954574213938043448557837239346488944742175475242717030219018333197,48558827705890433410930495806247979015057882306308297791747123177549084954
3121442518837630745253057118132908250329635703073234980247705746773967547260,0
3313959082100736095146096232570187205933331350268311518490953251108365193795,3324148500547928982254630166243994217562846378720237761016944573566585460695
1741136061409981337754856064419726783796516653931742090491618404616492394054,0
1968437986193172090456633692842537450242385419819873433517367474292683289582,3430540543290199780406129220276861048303918982572927440523893862953156070102
1836147631963168672961283170200275472434245055660011404425616133988093398837,0
2870222397407452998103059557707634108451650807923299451817360409752796382039,2976581643700826940778664118841414429065576767112357101839927693454631926576
3090935267954380409592413245808927424826416483228893825303959243335385974896,0
507012580603960329828064084748976349136180079919708834038177419533356364146,1104767372022780437028335821183011196140779290915077930575043121097840707960
864245950660543655226454902067170690961551725716104727392835432102565928199,0
2811955257060340075581174908772796247912540049202095960729247064036868077486,187499110941778308623699348741513115185684214963599039333634377038330619150
173381727148517619465845294650041863393646321142663093724493509614067576690,0
3203919965342586213151060982204770428787259864462945605441941505633195310219,1945486087080322962865210705085101127315216541602512451761950099526993511839
1117876176573268107477315832841213839706694663920093976269396210032779615248,0
1423516994388196640877491564131653911313219563827755127527805725266771232595,354970284439579935222835452599169135155715808541656049865682572065585598494
1442936526374772921837396134257628357950057546768636234610123981508114696056,0
3580115245123272720514726962363623192678292986043288997778928963674707995561,3045667014688363410127510770350043121302235398751915976760999854793513709243
2717376901377035116217059396059952776999257470701799608605023666551346348253,0
384366700311049268500775237268048238691085413588657175692307643221508751079,890465302039293431151024583827655647238667162703706699709144183242448942052
2520332665089793148233417855918079767762069621494254788934662511716755666017,0
2975231105707511354768568091737983904012942895053305562814525155726461731520,2515556108914105290467700185161097433366768158102973163726487435753348058813
2142985337937731890260707534948607294262787048642516856888214891647196971507,0
1790269033179617092294388848548472737952931728192171931775901995515958050102,1847678584858878796543163896917076721450947635043678641326940292808779372925
1452667864271375273319395011311102746043589638389186275755268733675331495817,0
1788892588461644470621834169689778902444028317298671041737444632086566693178,546043099335224479365732456061824158724027296283200888740852190190217863057
3034385947968472377665516302164130745808943216315662724846307871120872155394,0
2276506172143659931284776427936106746251658918422958693587563917091091933707,2214824916443529152357035440221567568319155701035661502035625165821988774457
1464330337650722037511067308248000085293077517858519210188386233211071565828,0
331675195510963018009233243096586383448734005672788465016108947102103611113,1805560753273779753838295754555268384270502695919569687521494884417154615897
1182421269001830534721726112811866570437789450337138778806487785170133743026,0
3334061878185749635538371893918555306257862246850584250031825580500118880772,2655105326998080098099201736428910581846809455595648651898795898995004415844
3369021324568484305014318775673242506538847269063435219880673987521937081380,0
3259144543244562358783049040010496263231281950229220162296640038695166112157,2655625113959965875966545440309704621546180039816965241160863498905663501000
2318864976987777500053411050298433760059056019927294251410933367125624521206,0
1901683395708018940675435012342666691643026544046381384473857395980332607258,3249859676895656704110426843264936547565168946813643705929016889761055159072
2237605984344584855440868467894791099566986220409775057550726753938322065471,0
847881525650016651714786899228715770295483768393916770058576583017552685499,1020728374478074840967685653487041990090812010741364172270757820862652857700
620672317588425031279404181975790044061801432696573591847818340397829363110,0
2496810951637623450062302247497497878504500188371314628720204203772839012868,333643994517251453362717960542103622999444466340578963644347501569961268673
764738810683349186588160681084284353576636654168728436066338688035981177544,0
73445916882524733072107603310766709611983263152387335679006339084944854760,2719228076499892520048384819578836188523336587012316995075131841580364439858
1377213603701710465628818379921226034251988748515685859379806555496647289660,0
1107957708768365865574565959587976917954876821416228165994240179803934860264,3449289907252998967730068298604188413915010445255189175694745948406343653370
1413670772318907092254198837279340625164151594221837595877386315675054570321,0
731959045950823084161930110683448489288674941286754835497926560633853301707,2048425337460851000434545624428930399495986865156568282359906066423075296781
978834451832244982535369509223566890648862371055214265723448132826243838331,0
3429900577269144134133890357074425535522662682479072495468378262401967714454,1591740286571934440808005955259171516984547390621144580101474741522870137669
1925605185544276867685105763494953142580490520602211826460912602817660834715,0
2956939671172486934880716219362107893340974147344643005665707674962703232664,2725464138240314316992061437258900638687020543705708351176890854598339689263
1967601383664497304758945204297818962089937850561849269797901445375678380957,0
2426016869763774217268572759657087237037506045261118343532818711468883506646,1498718092175982149808937338241681806647721458175588664861103703699203549975
2728936411088358445683981097511350644796387922031811716485790476590559571021,0
436394510051717930074466429065793480179501367464510316777478507395010945858,218641511385024043644705579176719108018777620038398545013327038223224513410
2666657519468481900630228527473288196509320946894791331958686912740235771026,0
639128051752277807222302098565433068652755963236102871752533579975940796269,3487846735780551182721887426511571264900137873178707612986627174929216655098
3286532272374113783070604361948148482261498032518772890631922186381468650143,0
3216402943027333409365350673680473628849164720816489738829816415318266712739,2944391705276156973314995950827594644311865854726393578038410869683840233513
290088695096584833754502244171903267911272040912656260042047305994374306058,0
