rc_pool,flags,rc_sorted,mem_pool,mem_sorted,pc_update
32767,1031,32763,1,1,33
32769,515,32763,290341444919459839,290341444919459839,0
32769,257,32763,0,1,0
32769,128,32763,0,290341444919459839,0
32769,64,32763,32,1,0
32769,32,32763,0,290341444919459839,0
32769,16,32763,91,1,0
32769,8,32763,0,290341444919459839,0
32767,4,32763,32,1,33
32769,2,32763,0,290341444919459839,0
32769,1,32764,0,1,0
32769,0,32764,0,290341444919459839,0
32769,0,32764,2,1,0
32769,0,32764,0,290341444919459839,0
32769,0,32764,91,1,0
32769,0,32764,0,290341444919459839,0
32768,4356,32764,3,1,33
32769,2178,32764,1226245742482522112,290341444919459839,0
32769,1089,32764,0,1,0
32769,544,32764,0,290341444919459839,0
32769,272,32764,34,1,20
32769,136,32764,5,290341444919459839,0
32769,68,32764,91,1,0
32769,34,32764,0,290341444919459839,0
32769,17,32764,33,1,33
32769,8,32764,33,290341444919459839,0
32769,4,32764,0,1,0
32769,2,32764,0,290341444919459839,0
32769,1,32764,4,1,4
32769,0,32764,4,290341444919459839,0
32769,0,32764,91,1,0
32769,0,32765,0,290341444919459839,0
32767,1031,32765,7,1,35
32769,515,32765,290341444919459839,290341444919459839,0
32769,257,32765,0,1,0
32769,128,32765,0,290341444919459839,0
32769,64,32765,34,1,0
32769,32,32765,5,290341444919459839,0
32769,16,32765,91,1,0
32769,8,32765,0,290341444919459839,0
32767,4,32765,34,1,35
32769,2,32765,5,290341444919459839,0
32769,1,32765,0,1,0
32769,0,32765,0,290341444919459839,0
32769,0,32765,8,1,0
32769,0,32765,0,290341444919459839,0
32769,0,32765,91,1,0
32769,0,32765,0,290341444919459839,0
32768,18438,32765,9,1,35
32769,9219,32765,5189976364521848832,290341444919459839,0
32769,4609,32765,0,1,0
32769,2304,32765,0,290341444919459839,0
32769,1152,32766,34,1,5
32769,576,32766,5,290341444919459839,0
32769,288,32766,91,1,0
32769,144,32766,0,290341444919459839,0
32767,72,32766,35,1,35
32769,36,32766,1,290341444919459839,0
32769,18,32766,0,1,0
32769,9,32766,0,290341444919459839,0
32769,4,32766,10,1,1
32769,2,32766,1,290341444919459839,0
32769,1,32766,91,1,0
32769,0,32766,0,290341444919459839,0
32768,18438,32767,11,1,36
32769,9219,32767,5189976364521848832,290341444919459839,0
32769,4609,32767,0,1,0
32769,2304,32767,0,290341444919459839,0
32769,1152,32767,34,1,5
32769,576,32767,5,290341444919459839,0
32769,288,32767,91,1,0
32769,144,32767,0,290341444919459839,0
32767,72,32767,36,1,35
32769,36,32767,1,290341444919459839,0
32769,18,32767,0,1,0
32769,9,32767,0,290341444919459839,0
32769,4,32767,12,1,1
32769,2,32767,1,290341444919459839,0
32769,1,32767,91,1,0
32769,0,32767,0,290341444919459839,0
32768,18438,32767,13,1,37
32769,9219,32767,5189976364521848832,290341444919459839,0
32769,4609,32767,0,1,0
32769,2304,32767,0,290341444919459839,0
32769,1152,32767,34,1,50
32769,576,32767,5,290341444919459839,0
32769,288,32767,91,1,0
32769,144,32767,0,290341444919459839,0
32767,72,32767,37,1,35
32769,36,32767,10,290341444919459839,0
32769,18,32767,0,1,0
32769,9,32767,0,290341444919459839,0
32769,4,32767,14,1,10
32769,2,32767,10,290341444919459839,0
32769,1,32767,91,1,0
32769,0,32767,0,290341444919459839,0
32768,4356,32767,15,1,38
32769,2178,32767,1226245742482522112,290341444919459839,0
32769,1089,32767,0,1,0
32769,544,32767,0,290341444919459839,0
32769,272,32767,39,1,85
32769,136,32767,17,290341444919459839,0
32769,68,32767,91,1,0
32769,34,32767,0,290341444919459839,0
32769,17,32767,38,1,35
32769,8,32767,35,290341444919459839,0
32769,4,32767,0,1,0
32769,2,32767,0,290341444919459839,0
32769,1,32767,16,1,5
32769,0,32767,5,290341444919459839,0
32769,0,32767,91,1,0
32769,0,32767,0,290341444919459839,0
32765,519,32767,20,1,40
32769,259,32767,146226256843603965,290341444919459839,0
32769,129,32767,0,1,10
32769,64,32767,0,290341444919459839,0
32769,32,32767,39,1,68
32769,16,32767,17,290341444919459839,0
32769,8,32767,91,1,0
32769,4,32767,0,290341444919459839,0
32767,2,32767,37,1,40
32769,1,32767,10,290341444919459839,0
32769,0,32767,0,1,1
32769,0,32767,0,290341444919459839,0
32769,0,32767,21,1,3256652509799518092327590504785563095060796493798437029975782850522284818433
32769,0,32767,4,290341444919459839,0
32769,0,32767,91,1,0
32769,0,32767,0,290341444919459839,0
32768,18442,32767,24,1,40
32769,9221,32767,5191102242953854976,290341444919459839,0
32769,4610,32767,0,1,0
32769,2305,32767,0,290341444919459839,0
32764,1152,32767,39,1,17
32769,576,32767,17,290341444919459839,0
